"produc_f_id";"produc_f_nom"
1;Ninguno
2;Soja - Maiz
3;Distribucion Materiales Electricos
4;Obras Civiles
5;Soja
6;Elaboracion De Hormigon
7;Productos Plasticos
8;Carrocerias
9;Otros
10;Soja - Maiz - Trigo
11;Ladrillos
12;Balas
13;Naranja
14;Bobinados
15;Agricola Ganaera
16;Ganado
17;Papa
18;Cantera (aridos)
19;Torneria
20;Arandanos
21;Cera
22;Movimiento De Suelos
23;Corralon
24;Aridos Y Ripio
25;Cerealera
26;Tambo
27;Plegado De Chapas
28;Metalurgica
29;Velas Artesanales
30;Quimica
31;Packing De Frutillas
32;Hoteles Y Casinos
33;Palta
34;Prueba
35;Fraccionadora De Gas
36;Fumigaciones
37;Textil
38;Construcción
39;Ingenio
