"provee_id";"provee_nom"
1;Petroarsa
2;Tucagro
3;Lubre S.r.l
4;La Garza
5;Profertil
6;A G D
7;Cia. Argentina De Granos
8;Montanaro
9;Labruna
10;Est. De Servicio
11;Simonetto
12;Siner
13;Merletti
14;Movil Esso
15;Empalme R9
16;Petroband
17;Blasco
18;Agro Classic
19;Produccion
20;Ayugenta
21;Tiburcio Sanz
22;El Bajo
23;Petroandina
24;Carlino
25;Por Canje
26;Varios
27;Oroverde
28;Mipol
29;Red Agropecuaria
30;Ypf Directo
31;Macomita
32;Complejo Del Parque
33;Imgenio
34;Agro Verde
35;Refinor
36;La Angostura
37;Carrizo
38;Proagro
39;Lubricentro
40;D P V
41;Citrusvil
42;Shell
43;Golf
44;Vargas
45;Agroimpulso
46;Grupo Caso
47;Escarabajo
48;Estac De Serv Ruta 306 (ledesma)
49;Estac De Servicio (oil)
50;Bunge
51;No Se Detalla
52;Estac De Servicio (salomon-famailla)
53;Distribuidores En Cordoba
54;Polca Bleckwedel
55;Sabag (refinor)
56;Dapsa
57;Estac De Servicio (full Service)
58;Moto Saenz Peña
59;Estac. De Servicio (autopista)
60;Ingenio La Trinidad
61;Oasis
62;Reginatto
63;Atanor
64;Petech
65;Afamia (estac De Serv Refinor)
66;La Asturiana
67;Ingenio La Fronterita
68;Tarcos Sa
69;Nidera
70;Chelala
71;Ingenio Marapa
72;Agrolajitas
73;Inta
74;Fortino
75;Petronorte
76;Estac De Serv Gnc Ranchillos
77;Ford
78;Estac De Serv Esso Termas Rio Hondo
79;Total
80;Cusillos
81;Ingenio La Florida
82;Grupo Autopartes
83;Fantini (ypf)
84;Amengual
85;Perez Curbello
86;Caso Alberto
87;Ingenio Providencia
88;Johnn Deere
89;Citricola San Miguel
90;Agricola Garcia
91;Castrol
92;Amma
93;Full Service
94;Gargiulo
95;Autogoma Famailla
96;Syngenta
97;Monsanto
98;Esso
99;Ingenio Leales
100;Nieto
101;La Agroquimica
102;Zamora
103;Transporte De Automotor
104;Pdv Directo
105;Estac De Serv El Bajo
106;Citromax
107;Toledo
108;Filtros Noa
109;Servicampo Sa
110;Combustibles Del Norte
111;El Azul
112;Horticola Del Noa
113;Paul Traiding
114;Agropecuaria Porcel
115;Molinos Rio De La Plata
116;Bayer
117;Nufar
118;Agro Frontera
119;Mario Repuestos
120;Giraudo
121;Ingenio Santa Barbara
122;Esposito
123;Ingenio Concepcion
124;El Oasis
125;Acedelco
126;Salomon
127;Ypf En Ruta
